"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"C/C++ Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"Text Editing","Text Start","⌘↖","Editing Text"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Focused UI","Focus on Active Task","⌥⇧H","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⌥⇧↓","In Tasks View"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Project","Build Target Build","⇧F9","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Run/Debug","Step Into","F5","Debugging"
"Window","Activate Editor","⌘F12","In Windows"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks Editor"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Task Editor","Submit Task","⌥⇧S","In Tasks Editor"
"File","Close All","⇧⌘W","In Windows"
"Text Editing","Zoom Out","⌘-","Editing Text"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Source","Organize Imports","⇧⌘O","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Window","Next Editor","⌘F6","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Run/Debug","Coverage RAP JUnit Test","⌥⇧E R","In Windows"
"Edit","Restore Last Selection","⌃⇧⇟","Editing Java Source"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Text Editing","Delete Line","⌘Y","Editing Text"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows"
"Edit","Restore Last C/C++ Selection","⌃⇧⇟","C/C++ Editor"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Project","Build All","⌘B","In Windows"
"Terminal view commands","Paste","⌘V","Terminal Control in Focus"
"Run/Debug","Run Maven Build","⌥⇧X M","In Windows"
"File","Save","⌘S","In Windows"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Git","Commit...","⌥⌘3","In Windows"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"File","Properties","⌘I","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Focused UI","Make Less Interesting","⌥⇧⌘↓","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"C/C++ Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"C/C++ Source","Declaration","⌘G","C/C++ Editor"
"Run/Debug","Step Return","F7","Debugging"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Run/Debug","Execute","⌘U","In Windows"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"Project","Rebuild Last Target","F9","In Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Window","Next Perspective","⌘F8","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
